agent_number,agent_file,agent_name,description,tools,model,sub_agents,capabilities,domain
001,agent_001_ceo_root_coordinator.py,Ceo Root Coordinator,Agent 001: CEO Root Coordinator,,,,,Executive Leadership
002,agent_002_coo_operations_coordinator.py,Coo Operations Coordinator,Agent 002: COO Operations Coordinator,,,,,Executive Leadership
003,agent_003_cfo_financial_director.py,Cfo Financial Director,Agent 003: CFO Financial Director,,,,,Finance & Accounting
004,agent_004_cto_technology_director.py,Cto Technology Director,Agent 004: CTO Technology Director,,,,,Technology & Engineering
005,agent_005_cio_information_director.py,Cio Information Director,Agent 005: CIO Information Director,,,,,Technology & Engineering
006,agent_006_cmo_marketing_director.py,Cmo Marketing Director,Agent 006: CMO Marketing Director,,,,web search,Marketing
007,agent_007_chro_human_resources_director.py,Chro Human Resources Director,Agent 007: CHRO Human Resources Director,,,,,Human Resources
008,agent_008_cso_sales_director.py,Cso Sales Director,Agent 008: CSO Sales Director,,,,,Sales & Revenue
009,agent_009_cpo_product_director.py,Cpo Product Director,Agent 009: CPO Product Director,,,,,Technology & Engineering
010,agent_010_cdo_data_director.py,Cdo Data Director,Agent 010: CDO Data Director,,,,,Technology & Engineering
011,agent_011_ciso_security_director.py,Ciso Security Director,Agent 011: CISO Security Director,,,,,Technology & Engineering
012,agent_012_cco_customer_director.py,Cco Customer Director,Agent 012: CCO Customer Director,,,,,Technology & Engineering
013,agent_013_general_counsel.py,General Counsel,Agent 013: General Counsel,,,,web search,Legal
014,agent_014_cro_revenue_director.py,Cro Revenue Director,Agent 014: CRO Revenue Director,,,,,Sales & Revenue
015,agent_015_cco_compliance_director.py,Cco Compliance Director,Agent 015: CCO Compliance Director,,,,,Technology & Engineering
016,agent_016_vp_corporate_strategy.py,Vp Corporate Strategy,Agent 016: VP Corporate Strategy,,,,,Strategy & Business Development
017,agent_017_vp_investor_relations.py,Vp Investor Relations,Agent 017: VP Investor Relations,,,,,Communications & PR
018,agent_018_vp_corporate_communications.py,Vp Corporate Communications,Agent 018: VP Corporate Communications,,,,,Communications & PR
019,agent_019_vp_business_development.py,Vp Business Development,Agent 019: VP Business Development,,,,,Product Management
020,agent_020_vp_enterprise_architecture.py,Vp Enterprise Architecture,Agent 020: VP Enterprise Architecture,,,,web search,Technology & Engineering
021,agent_021_vp_financial_planning.py,Vp Financial Planning,Agent 021: VP Financial Planning & Analysis,,,,analysis,Finance & Accounting
022,agent_022_controller.py,Controller,Agent 022: Corporate Controller,,,,,General Business
023,agent_023_treasurer.py,Treasurer,Agent 023: Corporate Treasurer,,,,,General Business
024,agent_024_vp_tax.py,Vp Tax,Agent 024: VP Tax,,,,web search,Finance & Accounting
025,agent_025_vp_internal_audit.py,Vp Internal Audit,Agent 025: VP Internal Audit,,,,,Security & Compliance
026,agent_026_director_accounts_payable.py,Director Accounts Payable,Agent 026: Director Accounts Payable,,,,,Finance & Accounting
027,agent_027_director_accounts_receivable.py,Director Accounts Receivable,Agent 027: Director Accounts Receivable,,,,,Finance & Accounting
028,agent_028_director_financial_reporting.py,Director Financial Reporting,Agent 028: Director Financial Reporting,,,,reporting,Finance & Accounting
029,agent_029_director_procurement.py,Director Procurement,Agent 029: Director Procurement,,,,,Technology & Engineering
030,agent_030_senior_financial_analyst.py,Senior Financial Analyst,Agent 030: Senior Financial Analyst,,,,,Finance & Accounting
031,agent_031_budget_manager.py,Budget Manager,Agent 031: Budget Manager,,,,management,Finance & Accounting
032,agent_032_cost_accountant.py,Cost Accountant,Agent 032: Cost Accountant,,,,,Sales & Revenue
033,agent_033_revenue_accountant.py,Revenue Accountant,Agent 033: Revenue Accountant,,,,,Sales & Revenue
034,agent_034_tax_analyst.py,Tax Analyst,Agent 034: Tax Analyst,,,,web search,Finance & Accounting
035,agent_035_treasury_analyst.py,Treasury Analyst,Agent 035: Treasury Analyst,,,,,Finance & Accounting
036,agent_036_internal_auditor.py,Internal Auditor,Agent 036: Internal Auditor,,,,,Security & Compliance
037,agent_037_ap_specialist.py,Ap Specialist,Agent 037: AP Specialist,,,,,General Business
038,agent_038_ar_specialist.py,Ar Specialist,Agent 038: AR Specialist,,,,,General Business
039,agent_039_payroll_specialist.py,Payroll Specialist,Agent 039: Payroll Specialist,,,,,Finance & Accounting
040,agent_040_financial_systems_analyst.py,Financial Systems Analyst,Agent 040: Financial Systems Analyst,,,,,Finance & Accounting
041,agent_041_vp_talent_acquisition.py,Vp Talent Acquisition,Agent 041: VP Talent Acquisition,,,,,Human Resources
042,agent_042_vp_compensation_benefits.py,Vp Compensation Benefits,Agent 042: VP Compensation & Benefits,,,,,Human Resources
043,agent_043_vp_learning_development.py,Vp Learning Development,Agent 043: VP Learning & Development,,,,,Product Management
044,agent_044_vp_employee_relations.py,Vp Employee Relations,Agent 044: VP Employee Relations,,,,,Human Resources
045,agent_045_director_hr_operations.py,Director Hr Operations,Agent 045: Director HR Operations,,,,,Human Resources
046,agent_046_director_talent_management.py,Director Talent Management,Agent 046: Director Talent Management,,,,management,Human Resources
047,agent_047_director_organizational_development.py,Director Organizational Development,Agent 047: Director Organizational Development,,,,,Technology & Engineering
048,agent_048_director_hr_business_partners.py,Director Hr Business Partners,Agent 048: Director HR Business Partners,,,,,Human Resources
049,agent_049_director_diversity_inclusion.py,Director Diversity Inclusion,Agent 049: Director Diversity & Inclusion,,,,,Technology & Engineering
050,agent_050_senior_recruiter.py,Senior Recruiter,Agent 050: Senior Recruiter,,,,,Human Resources
051,agent_051_compensation_analyst.py,Compensation Analyst,Agent 051: Compensation Analyst,,,,web search,Human Resources
052,agent_052_benefits_administrator.py,Benefits Administrator,Agent 052: Benefits Administrator,,,,,Human Resources
053,agent_053_hr_generalist.py,Hr Generalist,Agent 053: HR Generalist,,,,,Human Resources
054,agent_054_training_specialist.py,Training Specialist,Agent 054: Training Specialist,,,,,General Business
055,agent_055_employee_relations_specialist.py,Employee Relations Specialist,Agent 055: Employee Relations Specialist,,,,,Human Resources
056,agent_056_hris_analyst.py,Hris Analyst,Agent 056: HRIS Analyst,,,,,Human Resources
057,agent_057_workforce_planning_analyst.py,Workforce Planning Analyst,Agent 057: Workforce Planning Analyst,,,,,General Business
058,agent_058_performance_management_specialist.py,Performance Management Specialist,Agent 058: Performance Management Specialist,,,,management,General Business
059,agent_059_onboarding_specialist.py,Onboarding Specialist,Agent 059: Onboarding Specialist,,,,,General Business
060,agent_060_hr_compliance_specialist.py,Hr Compliance Specialist,Agent 060: HR Compliance Specialist,,,,,Human Resources
061,agent_061_vp_enterprise_sales.py,Vp Enterprise Sales,Agent 061: VP Enterprise Sales,,,,,Sales & Revenue
062,agent_062_vp_digital_marketing.py,Vp Digital Marketing,Agent 062: VP Digital Marketing,,,,,Marketing
063,agent_063_vp_brand_marketing.py,Vp Brand Marketing,Agent 063: VP Brand Marketing,,,,,Marketing
064,agent_064_vp_product_marketing.py,Vp Product Marketing,Agent 064: VP Product Marketing,,,,web search,Marketing
065,agent_065_director_sales_operations.py,Director Sales Operations,Agent 065: Director Sales Operations,,,,,Sales & Revenue
066,agent_066_director_demand_generation.py,Director Demand Generation,Agent 066: Director Demand Generation,,,,,Marketing
067,agent_067_director_marketing_operations.py,Director Marketing Operations,Agent 067: Director Marketing Operations,,,,,Marketing
068,agent_068_director_channel_sales.py,Director Channel Sales,Agent 068: Director Channel Sales,,,,,Sales & Revenue
069,agent_069_director_customer_marketing.py,Director Customer Marketing,Agent 069: Director Customer Marketing,,,,,Marketing
070,agent_070_enterprise_account_executive.py,Enterprise Account Executive,Agent 070: Enterprise Account Executive,,,,,Executive Leadership
071,agent_071_sales_development_rep.py,Sales Development Rep,Agent 071: Sales Development Rep,,,,web search,Sales & Revenue
072,agent_072_digital_marketing_manager.py,Digital Marketing Manager,Agent 072: Digital Marketing Manager,,,,management,Marketing
073,agent_073_content_marketing_manager.py,Content Marketing Manager,Agent 073: Content Marketing Manager,,,,"web search, management",Marketing
074,agent_074_product_marketing_manager.py,Product Marketing Manager,Agent 074: Product Marketing Manager,,,,"web search, management",Marketing
075,agent_075_marketing_automation_specialist.py,Marketing Automation Specialist,Agent 075: Marketing Automation Specialist,,,,automation,Marketing
076,agent_076_seo_sem_specialist.py,Seo Sem Specialist,Agent 076: SEO/SEM Specialist,,,,web search,Marketing
077,agent_077_social_media_manager.py,Social Media Manager,Agent 077: Social Media Manager,,,,management,Marketing
078,agent_078_sales_enablement_specialist.py,Sales Enablement Specialist,Agent 078: Sales Enablement Specialist,,,,,Sales & Revenue
079,agent_079_crm_administrator.py,Crm Administrator,Agent 079: CRM Administrator,,,,,Sales & Revenue
080,agent_080_sales_analyst.py,Sales Analyst,Agent 080: Sales Analyst,,,,,Sales & Revenue
081,agent_081_field_marketing_manager.py,Field Marketing Manager,Agent 081: Field Marketing Manager,,,,management,Marketing
082,agent_082_event_marketing_manager.py,Event Marketing Manager,Agent 082: Event Marketing Manager,,,,management,Marketing
083,agent_083_partner_marketing_manager.py,Partner Marketing Manager,Agent 083: Partner Marketing Manager,,,,management,Marketing
084,agent_084_marketing_analytics_manager.py,Marketing Analytics Manager,Agent 084: Marketing Analytics Manager,,,,"analysis, management",Marketing
085,agent_085_brand_designer.py,Brand Designer,Agent 085: Brand Designer,,,,,Marketing
086,agent_086_copywriter.py,Copywriter,Agent 086: Copywriter,,,,,General Business
087,agent_087_video_producer.py,Video Producer,Agent 087: Video Producer,,,,,Communications & PR
088,agent_088_email_marketing_specialist.py,Email Marketing Specialist,Agent 088: Email Marketing Specialist,,,,,Marketing
089,agent_089_ppc_specialist.py,Ppc Specialist,Agent 089: PPC Specialist,,,,web search,General Business
090,agent_090_conversion_rate_optimizer.py,Conversion Rate Optimizer,Agent 090: Conversion Rate Optimizer,,,,,General Business
091,agent_091_market_research_analyst.py,Market Research Analyst,Agent 091: Market Research Analyst,,,,web search,Research & Innovation
092,agent_092_competitive_intelligence_analyst.py,Competitive Intelligence Analyst,Agent 092: Competitive Intelligence Analyst,,,,web search,General Business
093,agent_093_sales_ops_analyst.py,Sales Ops Analyst,Agent 093: Sales Ops Analyst,,,,,Sales & Revenue
094,agent_094_revenue_operations_specialist.py,Revenue Operations Specialist,Agent 094: Revenue Operations Specialist,,,,,Sales & Revenue
095,agent_095_sales_trainer.py,Sales Trainer,Agent 095: Sales Trainer,,,,,Sales & Revenue
096,agent_096_presales_engineer.py,Presales Engineer,Agent 096: Presales Engineer,,,,,Sales & Revenue
097,agent_097_solutions_architect.py,Solutions Architect,Agent 097: Solutions Architect,,,,,Technology & Engineering
098,agent_098_inside_sales_rep.py,Inside Sales Rep,Agent 098: Inside Sales Rep,,,,,Sales & Revenue
099,agent_099_account_manager.py,Account Manager,Agent 099: Account Manager,,,,management,Sales & Revenue
100,agent_100_customer_success_manager.py,Customer Success Manager,Agent 100: Customer Success Manager,,,,management,Customer Experience
101,agent_101_vp_supply_chain.py,Vp Supply Chain,Agent 101: VP Supply Chain,,,,,Operations
102,agent_102_vp_manufacturing.py,Vp Manufacturing,Agent 102: VP Manufacturing,,,,,General Business
103,agent_103_vp_logistics.py,Vp Logistics,Agent 103: VP Logistics,,,,,Operations
104,agent_104_vp_quality_assurance.py,Vp Quality Assurance,Agent 104: VP Quality Assurance,,,,,General Business
105,agent_105_director_procurement_operations.py,Director Procurement Operations,Agent 105: Director Procurement Operations,,,,,Technology & Engineering
106,agent_106_director_warehouse_operations.py,Director Warehouse Operations,Agent 106: Director Warehouse Operations,,,,,Technology & Engineering
107,agent_107_director_inventory_management.py,Director Inventory Management,Agent 107: Director Inventory Management,,,,management,Technology & Engineering
108,agent_108_director_production_planning.py,Director Production Planning,Agent 108: Director Production Planning,,,,,Technology & Engineering
109,agent_109_director_facilities_management.py,Director Facilities Management,Agent 109: Director Facilities Management,,,,management,Technology & Engineering
110,agent_110_supply_chain_manager.py,Supply Chain Manager,Agent 110: Supply Chain Manager,,,,management,Operations
111,agent_111_logistics_manager.py,Logistics Manager,Agent 111: Logistics Manager,,,,management,Operations
112,agent_112_warehouse_manager.py,Warehouse Manager,Agent 112: Warehouse Manager,,,,management,General Business
113,agent_113_quality_control_manager.py,Quality Control Manager,Agent 113: Quality Control Manager,,,,management,General Business
114,agent_114_production_manager.py,Production Manager,Agent 114: Production Manager,,,,management,Product Management
115,agent_115_materials_planner.py,Materials Planner,Agent 115: Materials Planner,,,,,General Business
116,agent_116_demand_planner.py,Demand Planner,Agent 116: Demand Planner,,,,,Marketing
117,agent_117_inventory_analyst.py,Inventory Analyst,Agent 117: Inventory Analyst,,,,,General Business
118,agent_118_procurement_specialist.py,Procurement Specialist,Agent 118: Procurement Specialist,,,,,Operations
119,agent_119_shipping_coordinator.py,Shipping Coordinator,Agent 119: Shipping Coordinator,,,,,Executive Leadership
120,agent_120_receiving_coordinator.py,Receiving Coordinator,Agent 120: Receiving Coordinator,,,,,Executive Leadership
121,agent_121_quality_assurance_specialist.py,Quality Assurance Specialist,Agent 121: Quality Assurance Specialist,,,,,General Business
122,agent_122_production_scheduler.py,Production Scheduler,Agent 122: Production Scheduler,,,,,Product Management
123,agent_123_maintenance_manager.py,Maintenance Manager,Agent 123: Maintenance Manager,,,,management,General Business
124,agent_124_lean_manufacturing_specialist.py,Lean Manufacturing Specialist,Agent 124: Lean Manufacturing Specialist,,,,,General Business
125,agent_125_continuous_improvement_manager.py,Continuous Improvement Manager,Agent 125: Continuous Improvement Manager,,,,management,Communications & PR
126,agent_126_supplier_relationship_manager.py,Supplier Relationship Manager,Agent 126: Supplier Relationship Manager,,,,management,General Business
127,agent_127_transportation_manager.py,Transportation Manager,Agent 127: Transportation Manager,,,,management,General Business
128,agent_128_customs_compliance_specialist.py,Customs Compliance Specialist,Agent 128: Customs Compliance Specialist,,,,,Security & Compliance
129,agent_129_import_export_coordinator.py,Import Export Coordinator,Agent 129: Import Export Coordinator,,,,,Executive Leadership
130,agent_130_warehouse_operations_supervisor.py,Warehouse Operations Supervisor,Agent 130: Warehouse Operations Supervisor,,,,,Operations
131,agent_131_forklift_operations_coordinator.py,Forklift Operations Coordinator,Agent 131: Forklift Operations Coordinator,,,,,Executive Leadership
132,agent_132_inventory_control_specialist.py,Inventory Control Specialist,Agent 132: Inventory Control Specialist,,,,,General Business
133,agent_133_cycle_count_specialist.py,Cycle Count Specialist,Agent 133: Cycle Count Specialist,,,,,General Business
134,agent_134_returns_management_specialist.py,Returns Management Specialist,Agent 134: Returns Management Specialist,,,,management,General Business
135,agent_135_packaging_engineer.py,Packaging Engineer,Agent 135: Packaging Engineer,,,,,General Business
136,agent_136_process_engineer.py,Process Engineer,Agent 136: Process Engineer,,,,automation,Operations
137,agent_137_industrial_engineer.py,Industrial Engineer,Agent 137: Industrial Engineer,,,,,General Business
138,agent_138_ehs_manager.py,Ehs Manager,Agent 138: EHS Manager,,,,management,General Business
139,agent_139_sustainability_manager.py,Sustainability Manager,Agent 139: Sustainability Manager,,,,management,Information & Data
140,agent_140_business_continuity_manager.py,Business Continuity Manager,Agent 140: Business Continuity Manager,,,,management,Product Management
141,agent_141_vp_infrastructure.py,Vp Infrastructure,Agent 141: VP Infrastructure,,,,,Technology & Engineering
142,agent_142_vp_cloud_services.py,Vp Cloud Services,Agent 142: VP Cloud Services,,,,,Customer Experience
143,agent_143_vp_it_security_operations.py,Vp It Security Operations,Agent 143: VP IT Security Operations,,,,,Security & Compliance
144,agent_144_vp_application_development.py,Vp Application Development,Agent 144: VP Application Development,,,,,Product Management
145,agent_145_director_network_engineering.py,Director Network Engineering,Agent 145: Director Network Engineering,,,,,Technology & Engineering
146,agent_146_director_systems_engineering.py,Director Systems Engineering,Agent 146: Director Systems Engineering,,,,,Technology & Engineering
147,agent_147_director_database_administration.py,Director Database Administration,Agent 147: Director Database Administration,,,,,Technology & Engineering
148,agent_148_director_it_service_management.py,Director It Service Management,Agent 148: Director IT Service Management,,,,management,Technology & Engineering
149,agent_149_director_devops.py,Director Devops,Agent 149: Director DevOps,,,,,Technology & Engineering
150,agent_150_cloud_architect.py,Cloud Architect,Agent 150: Cloud Architect,,,,,Technology & Engineering
151,agent_151_network_architect.py,Network Architect,Agent 151: Network Architect,,,,,Technology & Engineering
152,agent_152_security_architect.py,Security Architect,Agent 152: Security Architect,,,,,Technology & Engineering
153,agent_153_database_architect.py,Database Architect,Agent 153: Database Architect,,,,web search,Technology & Engineering
154,agent_154_infrastructure_engineer.py,Infrastructure Engineer,Agent 154: Infrastructure Engineer,,,,,Technology & Engineering
155,agent_155_systems_administrator.py,Systems Administrator,Agent 155: Systems Administrator,,,,,General Business
156,agent_156_network_engineer.py,Network Engineer,Agent 156: Network Engineer,,,,,General Business
157,agent_157_database_administrator.py,Database Administrator,Agent 157: Database Administrator,,,,,Information & Data
158,agent_158_devops_engineer.py,Devops Engineer,Agent 158: DevOps Engineer,,,,,Technology & Engineering
159,agent_159_site_reliability_engineer.py,Site Reliability Engineer,Agent 159: Site Reliability Engineer,,,,,Information & Data
160,agent_160_cloud_engineer.py,Cloud Engineer,Agent 160: Cloud Engineer,,,,,General Business
161,agent_161_it_service_desk_manager.py,It Service Desk Manager,Agent 161: IT Service Desk Manager,,,,management,Customer Experience
162,agent_162_it_support_specialist.py,It Support Specialist,Agent 162: IT Support Specialist,,,,,Customer Experience
163,agent_163_desktop_support_technician.py,Desktop Support Technician,Agent 163: Desktop Support Technician,,,,,Customer Experience
164,agent_164_help_desk_analyst.py,Help Desk Analyst,Agent 164: Help Desk Analyst,,,,,General Business
165,agent_165_it_asset_manager.py,It Asset Manager,Agent 165: IT Asset Manager,,,,management,General Business
166,agent_166_software_license_manager.py,Software License Manager,Agent 166: Software License Manager,,,,management,Technology & Engineering
167,agent_167_it_vendor_manager.py,It Vendor Manager,Agent 167: IT Vendor Manager,,,,management,General Business
168,agent_168_it_project_manager.py,It Project Manager,Agent 168: IT Project Manager,,,,management,Communications & PR
169,agent_169_scrum_master.py,Scrum Master,Agent 169: Scrum Master,,,,,General Business
170,agent_170_agile_coach.py,Agile Coach,Agent 170: Agile Coach,,,,,General Business
171,agent_171_release_manager.py,Release Manager,Agent 171: Release Manager,,,,management,General Business
172,agent_172_configuration_manager.py,Configuration Manager,Agent 172: Configuration Manager,,,,management,General Business
