agent_number,agent_file,agent_name,description,tools,model,sub_agents,capabilities,domain
347,agent_347_ml_scientist.py,Ml Scientist,Agent 347: ML Scientist,,,,web search,General Business
348,agent_348_research_scientist.py,Research Scientist,Agent 348: Research Scientist,,,,web search,Research & Innovation
349,agent_349_senior_data_engineer_analytics.py,Senior Data Engineer Analytics,Agent 349: Senior Data Engineer Analytics,,,,analysis,Information & Data
350,agent_350_data_engineer_analytics.py,Data Engineer Analytics,Agent 350: Data Engineer Analytics,,,,analysis,Information & Data
351,agent_351_bi_developer.py,Bi Developer,Agent 351: BI Developer,,,,,Technology & Engineering
352,agent_352_bi_analyst.py,Bi Analyst,Agent 352: BI Analyst,,,,,Information & Data
353,agent_353_business_analyst.py,Business Analyst,Agent 353: Business Analyst,,,,,General Business
354,agent_354_data_analyst.py,Data Analyst,Agent 354: Data Analyst,,,,,Information & Data
355,agent_355_analytics_consultant.py,Analytics Consultant,Agent 355: Analytics Consultant,,,,analysis,Information & Data
356,agent_356_quantitative_analyst.py,Quantitative Analyst,Agent 356: Quantitative Analyst,,,,web search,General Business
357,agent_357_statistician.py,Statistician,Agent 357: Statistician,,,,,General Business
358,agent_358_data_visualization_specialist.py,Data Visualization Specialist,Agent 358: Data Visualization Specialist,,,,,Information & Data
359,agent_359_reporting_analyst.py,Reporting Analyst,Agent 359: Reporting Analyst,,,,reporting,General Business
360,agent_360_insights_analyst.py,Insights Analyst,Agent 360: Insights Analyst,,,,,General Business
361,agent_361_data_governance_manager.py,Data Governance Manager,Agent 361: Data Governance Manager,,,,management,Information & Data
362,agent_362_data_quality_manager.py,Data Quality Manager,Agent 362: Data Quality Manager,,,,management,Information & Data
363,agent_363_master_data_manager.py,Master Data Manager,Agent 363: Master Data Manager,,,,management,Information & Data
364,agent_364_metadata_manager.py,Metadata Manager,Agent 364: Metadata Manager,,,,management,Information & Data
365,agent_365_data_catalog_administrator.py,Data Catalog Administrator,Agent 365: Data Catalog Administrator,,,,web search,Information & Data
366,agent_366_data_steward.py,Data Steward,Agent 366: Data Steward,,,,,Information & Data
367,agent_367_data_privacy_analyst.py,Data Privacy Analyst,Agent 367: Data Privacy Analyst,,,,,Information & Data
368,agent_368_data_architect.py,Data Architect,Agent 368: Data Architect,,,,,Technology & Engineering
369,agent_369_analytics_architect.py,Analytics Architect,Agent 369: Analytics Architect,,,,analysis,Technology & Engineering
370,agent_370_data_warehouse_architect.py,Data Warehouse Architect,Agent 370: Data Warehouse Architect,,,,web search,Technology & Engineering
371,agent_371_etl_developer.py,Etl Developer,Agent 371: ETL Developer,,,,,Technology & Engineering
372,agent_372_data_integration_specialist.py,Data Integration Specialist,Agent 372: Data Integration Specialist,,,,,Information & Data
373,agent_373_data_ops_engineer.py,Data Ops Engineer,Agent 373: DataOps Engineer,,,,,Information & Data
374,agent_374_ml_ops_engineer.py,Ml Ops Engineer,Agent 374: MLOps Engineer,,,,,Operations
375,agent_375_feature_engineering_specialist.py,Feature Engineering Specialist,Agent 375: Feature Engineering Specialist,,,,,Technology & Engineering
376,agent_376_model_validation_specialist.py,Model Validation Specialist,Agent 376: Model Validation Specialist,,,,,General Business
377,agent_377_ab_testing_analyst.py,Ab Testing Analyst,Agent 377: A/B Testing Analyst,,,,,General Business
378,agent_378_experimentation_analyst.py,Experimentation Analyst,Agent 378: Experimentation Analyst,,,,,General Business
379,agent_379_predictive_analytics_specialist.py,Predictive Analytics Specialist,Agent 379: Predictive Analytics Specialist,,,,analysis,Information & Data
380,agent_380_forecasting_analyst.py,Forecasting Analyst,Agent 380: Forecasting Analyst,,,,,General Business
381,agent_381_vp_cybersecurity.py,Vp Cybersecurity,,,,,,Security & Compliance
382,agent_382_director_security_operations.py,Director Security Operations,,,,,,Technology & Engineering
383,agent_383_director_application_security.py,Director Application Security,,,,,,Technology & Engineering
384,agent_384_director_identity_security.py,Director Identity Security,,,,,,Technology & Engineering
385,agent_385_security_operations_manager.py,Security Operations Manager,,,,,management,Security & Compliance
386,agent_386_incident_response_manager.py,Incident Response Manager,,,,,management,General Business
387,agent_387_threat_intelligence_manager.py,Threat Intelligence Manager,,,,,management,Human Resources
388,agent_388_vulnerability_management_manager.py,Vulnerability Management Manager,,,,,management,Information & Data
389,agent_389_security_architect_enterprise.py,Security Architect Enterprise,,,,,,Technology & Engineering
390,agent_390_application_security_architect.py,Application Security Architect,,,,,,Technology & Engineering
391,agent_391_security_operations_analyst.py,Security Operations Analyst,,,,,,Security & Compliance
392,agent_392_soc_analyst.py,Soc Analyst,,,,,,General Business
393,agent_393_threat_hunter.py,Threat Hunter,,,,,,Human Resources
394,agent_394_incident_responder.py,Incident Responder,,,,,,General Business
395,agent_395_malware_analyst.py,Malware Analyst,,,,,,General Business
396,agent_396_forensics_analyst.py,Forensics Analyst,,,,,,General Business
397,agent_397_penetration_tester.py,Penetration Tester,,,,,,General Business
398,agent_398_ethical_hacker.py,Ethical Hacker,,,,,,General Business
399,agent_399_red_team_operator.py,Red Team Operator,,,,,,General Business
400,agent_400_blue_team_analyst.py,Blue Team Analyst,,,,,,General Business
401,agent_401_vulnerability_analyst.py,Vulnerability Analyst,Agent 401: Vulnerability Analyst,,,,,Information & Data
402,agent_402_security_compliance_analyst.py,Security Compliance Analyst,Agent 402: Security Compliance Analyst,,,,,Security & Compliance
403,agent_403_grc_analyst.py,Grc Analyst,Agent 403: GRC Analyst,,,,,General Business
404,agent_404_risk_analyst.py,Risk Analyst,Agent 404: Risk Analyst,,,,,Security & Compliance
405,agent_405_third_party_risk_analyst.py,Third Party Risk Analyst,Agent 405: Third Party Risk Analyst,,,,,Security & Compliance
406,agent_406_vendor_security_assessor.py,Vendor Security Assessor,Agent 406: Vendor Security Assessor,,,,,Security & Compliance
407,agent_407_security_awareness_specialist.py,Security Awareness Specialist,Agent 407: Security Awareness Specialist,,,,,Security & Compliance
408,agent_408_phishing_simulation_specialist.py,Phishing Simulation Specialist,Agent 408: Phishing Simulation Specialist,,,,,General Business
409,agent_409_devsecops_engineer.py,Devsecops Engineer,Agent 409: DevSecOps Engineer,,,,,Operations
410,agent_410_cloud_security_engineer.py,Cloud Security Engineer,Agent 410: Cloud Security Engineer,,,,,Security & Compliance
411,agent_411_network_security_engineer.py,Network Security Engineer,Agent 411: Network Security Engineer,,,,,Security & Compliance
412,agent_412_endpoint_security_engineer.py,Endpoint Security Engineer,Agent 412: Endpoint Security Engineer,,,,,Security & Compliance
413,agent_413_identity_security_engineer.py,Identity Security Engineer,Agent 413: Identity Security Engineer,,,,,Security & Compliance
414,agent_414_pki_specialist.py,Pki Specialist,Agent 414: PKI Specialist,,,,,General Business
415,agent_415_encryption_specialist.py,Encryption Specialist,Agent 415: Encryption Specialist,,,,,General Business
416,agent_416_secrets_management_specialist.py,Secrets Management Specialist,Agent 416: Secrets Management Specialist,,,,management,General Business
417,agent_417_security_tools_administrator.py,Security Tools Administrator,Agent 417: Security Tools Administrator,,,,,Security & Compliance
418,agent_418_siem_administrator.py,Siem Administrator,Agent 418: SIEM Administrator,,,,,General Business
419,agent_419_dlp_administrator.py,Dlp Administrator,Agent 419: DLP Administrator,,,,,General Business
420,agent_420_security_metrics_analyst.py,Security Metrics Analyst,Agent 420: Security Metrics Analyst,,,,,Security & Compliance
421,agent_421_salesforce_integration_specialist.py,Salesforce Integration Specialist,Agent 421: Salesforce Integration Specialist,,,,,Sales & Revenue
422,agent_422_workday_integration_specialist.py,Workday Integration Specialist,Agent 422: Workday Integration Specialist,,,,,Integration & Platforms
423,agent_423_servicenow_integration_specialist.py,Servicenow Integration Specialist,Agent 423: ServiceNow Integration Specialist,,,,,Customer Experience
424,agent_424_oracle_integration_specialist.py,Oracle Integration Specialist,Agent 424: Oracle Integration Specialist,,,,,Integration & Platforms
425,agent_425_sap_integration_specialist.py,Sap Integration Specialist,Agent 425: SAP Integration Specialist,,,,,Integration & Platforms
426,agent_426_microsoft_365_specialist.py,Microsoft 365 Specialist,Agent 426: Microsoft 365 Specialist,,,,,General Business
427,agent_427_google_workspace_specialist.py,Google Workspace Specialist,Agent 427: Google Workspace Specialist,,,,,General Business
428,agent_428_slack_integration_specialist.py,Slack Integration Specialist,Agent 428: Slack Integration Specialist,,,,,Integration & Platforms
429,agent_429_zoom_integration_specialist.py,Zoom Integration Specialist,Agent 429: Zoom Integration Specialist,,,,,Integration & Platforms
430,agent_430_okta_integration_specialist.py,Okta Integration Specialist,Agent 430: Okta Integration Specialist,,,,,Integration & Platforms
431,agent_431_hubspot_integration_specialist.py,Hubspot Integration Specialist,Agent 431: HubSpot Integration Specialist,,,,,Integration & Platforms
432,agent_432_marketo_integration_specialist.py,Marketo Integration Specialist,Agent 432: Marketo Integration Specialist,,,,,Integration & Platforms
433,agent_433_zendesk_integration_specialist.py,Zendesk Integration Specialist,Agent 433: Zendesk Integration Specialist,,,,,Integration & Platforms
434,agent_434_jira_integration_specialist.py,Jira Integration Specialist,Agent 434: Jira Integration Specialist,,,,,Integration & Platforms
435,agent_435_confluence_integration_specialist.py,Confluence Integration Specialist,Agent 435: Confluence Integration Specialist,,,,web search,Integration & Platforms
436,agent_436_tableau_integration_specialist.py,Tableau Integration Specialist,Agent 436: Tableau Integration Specialist,,,,,Integration & Platforms
437,agent_437_snowflake_integration_specialist.py,Snowflake Integration Specialist,Agent 437: Snowflake Integration Specialist,,,,,Integration & Platforms
438,agent_438_aws_integration_specialist.py,Aws Integration Specialist,Agent 438: AWS Integration Specialist,,,,,Integration & Platforms
439,agent_439_azure_integration_specialist.py,Azure Integration Specialist,Agent 439: Azure Integration Specialist,,,,,Integration & Platforms
440,agent_440_gcp_integration_specialist.py,Gcp Integration Specialist,Agent 440: GCP Integration Specialist,,,,,Integration & Platforms
441,agent_441_stripe_integration_specialist.py,Stripe Integration Specialist,Agent 441: Stripe Integration Specialist,,,,,Integration & Platforms
442,agent_442_paypal_integration_specialist.py,Paypal Integration Specialist,Agent 442: PayPal Integration Specialist,,,,,Integration & Platforms
443,agent_443_square_integration_specialist.py,Square Integration Specialist,Agent 443: Square Integration Specialist,,,,,Integration & Platforms
444,agent_444_shopify_integration_specialist.py,Shopify Integration Specialist,Agent 444: Shopify Integration Specialist,,,,,Integration & Platforms
445,agent_445_magento_integration_specialist.py,Magento Integration Specialist,Agent 445: Magento Integration Specialist,,,,,Integration & Platforms
446,agent_446_quickbooks_integration_specialist.py,Quickbooks Integration Specialist,Agent 446: QuickBooks Integration Specialist,,,,,Product Management
447,agent_447_netsuite_integration_specialist.py,Netsuite Integration Specialist,Agent 447: NetSuite Integration Specialist,,,,,Product Management
448,agent_448_bamboohr_integration_specialist.py,Bamboohr Integration Specialist,Agent 448: BambooHR Integration Specialist,,,,,Human Resources
449,agent_449_greenhouse_integration_specialist.py,Greenhouse Integration Specialist,Agent 449: Greenhouse Integration Specialist,,,,,Integration & Platforms
450,agent_450_lever_integration_specialist.py,Lever Integration Specialist,Agent 450: Lever Integration Specialist,,,,,Integration & Platforms
451,agent_451_docusign_integration_specialist.py,Docusign Integration Specialist,Agent 451: DocuSign Integration Specialist,,,,,Integration & Platforms
452,agent_452_adobe_sign_integration_specialist.py,Adobe Sign Integration Specialist,Agent 452: Adobe Sign Integration Specialist,,,,,Integration & Platforms
453,agent_453_box_integration_specialist.py,Box Integration Specialist,Agent 453: Box Integration Specialist,,,,,Integration & Platforms
454,agent_454_dropbox_integration_specialist.py,Dropbox Integration Specialist,Agent 454: Dropbox Integration Specialist,,,,,Integration & Platforms
455,agent_455_asana_integration_specialist.py,Asana Integration Specialist,Agent 455: Asana Integration Specialist,,,,,Integration & Platforms
456,agent_456_monday_integration_specialist.py,Monday Integration Specialist,Agent 456: Monday Integration Specialist,,,,,Integration & Platforms
457,agent_457_smartsheet_integration_specialist.py,Smartsheet Integration Specialist,Agent 457: Smartsheet Integration Specialist,,,,,Integration & Platforms
458,agent_458_airtable_integration_specialist.py,Airtable Integration Specialist,Agent 458: Airtable Integration Specialist,,,,,Integration & Platforms
459,agent_459_notion_integration_specialist.py,Notion Integration Specialist,Agent 459: Notion Integration Specialist,,,,web search,Integration & Platforms
460,agent_460_miro_integration_specialist.py,Miro Integration Specialist,Agent 460: Miro Integration Specialist,,,,,Integration & Platforms
461,agent_461_twilio_integration_specialist.py,Twilio Integration Specialist,Agent 461: Twilio Integration Specialist,,,,,Integration & Platforms
462,agent_462_sendgrid_integration_specialist.py,Sendgrid Integration Specialist,Agent 462: SendGrid Integration Specialist,,,,,Integration & Platforms
463,agent_463_mailchimp_integration_specialist.py,Mailchimp Integration Specialist,Agent 463: Mailchimp Integration Specialist,,,,,Integration & Platforms
464,agent_464_intercom_integration_specialist.py,Intercom Integration Specialist,Agent 464: Intercom Integration Specialist,,,,,Integration & Platforms
465,agent_465_drift_integration_specialist.py,Drift Integration Specialist,Agent 465: Drift Integration Specialist,,,,,Integration & Platforms
466,agent_466_segment_integration_specialist.py,Segment Integration Specialist,Agent 466: Segment Integration Specialist,,,,,Integration & Platforms
467,agent_467_amplitude_integration_specialist.py,Amplitude Integration Specialist,Agent 467: Amplitude Integration Specialist,,,,,Integration & Platforms
468,agent_468_mixpanel_integration_specialist.py,Mixpanel Integration Specialist,Agent 468: Mixpanel Integration Specialist,,,,,Integration & Platforms
469,agent_469_pendo_integration_specialist.py,Pendo Integration Specialist,Agent 469: Pendo Integration Specialist,,,,,Integration & Platforms
470,agent_470_fullstory_integration_specialist.py,Fullstory Integration Specialist,Agent 470: FullStory Integration Specialist,,,,web search,Integration & Platforms
471,agent_471_datadog_integration_specialist.py,Datadog Integration Specialist,Agent 471: Datadog Integration Specialist,,,,,Information & Data
472,agent_472_new_relic_integration_specialist.py,New Relic Integration Specialist,Agent 472: New Relic Integration Specialist,,,,,Integration & Platforms
473,agent_473_splunk_integration_specialist.py,Splunk Integration Specialist,Agent 473: Splunk Integration Specialist,,,,web search,Integration & Platforms
474,agent_474_pagerduty_integration_specialist.py,Pagerduty Integration Specialist,Agent 474: PagerDuty Integration Specialist,,,,,Integration & Platforms
475,agent_475_opsgenie_integration_specialist.py,Opsgenie Integration Specialist,Agent 475: Opsgenie Integration Specialist,,,,,Operations
476,agent_476_looker_integration_specialist.py,Looker Integration Specialist,Agent 476: Looker Integration Specialist,,,,,Integration & Platforms
477,agent_477_power_bi_integration_specialist.py,Power Bi Integration Specialist,Agent 477: Power BI Integration Specialist,,,,,Information & Data
478,agent_478_qlik_integration_specialist.py,Qlik Integration Specialist,Agent 478: Qlik Integration Specialist,,,,,Integration & Platforms
479,agent_479_domo_integration_specialist.py,Domo Integration Specialist,Agent 479: Domo Integration Specialist,,,,,Integration & Platforms
480,agent_480_sisense_integration_specialist.py,Sisense Integration Specialist,Agent 480: Sisense Integration Specialist,,,,,Integration & Platforms
481,agent_481_vp_innovation.py,Vp Innovation,Agent 481: VP Innovation,,,,,Research & Innovation
482,agent_482_director_digital_transformation.py,Director Digital Transformation,Agent 482: Director Digital Transformation,,,,,Technology & Engineering
483,agent_483_director_strategic_initiatives.py,Director Strategic Initiatives,Agent 483: Director Strategic Initiatives,,,,,Technology & Engineering
484,agent_484_innovation_manager.py,Innovation Manager,Agent 484: Innovation Manager,,,,management,Research & Innovation
485,agent_485_transformation_manager.py,Transformation Manager,Agent 485: Transformation Manager,,,,management,General Business
486,agent_486_change_management_specialist.py,Change Management Specialist,Agent 486: Change Management Specialist,,,,management,General Business
487,agent_487_business_process_improvement_specialist.py,Business Process Improvement Specialist,Agent 487: Business Process Improvement Specialist,,,,automation,Operations
488,agent_488_automation_specialist.py,Automation Specialist,Agent 488: Automation Specialist,,,,automation,General Business
489,agent_489_rpa_developer.py,Rpa Developer,Agent 489: RPA Developer,,,,,Technology & Engineering
490,agent_490_low_code_developer.py,Low Code Developer,Agent 490: Low Code Developer,,,,,Technology & Engineering
491,agent_491_citizen_developer_enabler.py,Citizen Developer Enabler,Agent 491: Citizen Developer Enabler,,,,,Technology & Engineering
492,agent_492_ai_implementation_specialist.py,Ai Implementation Specialist,Agent 492: AI Implementation Specialist,,,,,General Business
493,agent_493_blockchain_specialist.py,Blockchain Specialist,Agent 493: Blockchain Specialist,,,,,General Business
494,agent_494_quantum_computing_researcher.py,Quantum Computing Researcher,Agent 494: Quantum Computing Researcher,,,,web search,Research & Innovation
495,agent_495_emerging_tech_researcher.py,Emerging Tech Researcher,Agent 495: Emerging Tech Researcher,,,,web search,Research & Innovation
496,agent_496_innovation_analyst.py,Innovation Analyst,Agent 496: Innovation Analyst,,,,,Research & Innovation
497,agent_497_startup_liaison.py,Startup Liaison,Agent 497: Startup Liaison,,,,,General Business
498,agent_498_venture_capital_analyst.py,Venture Capital Analyst,Agent 498: Venture Capital Analyst,,,,,Integration & Platforms
499,agent_499_technology_scout.py,Technology Scout,Agent 499: Technology Scout,,,,web search,Technology & Engineering
500,agent_500_patent_strategy_analyst.py,Patent Strategy Analyst,Agent 500: Patent Strategy Analyst,,,,web search,Strategy & Business Development
501,agent_501_sustainability_innovation_specialist.py,Sustainability Innovation Specialist,Agent 501: Sustainability Innovation Specialist,,,,,Information & Data
502,agent_502_green_technology_specialist.py,Green Technology Specialist,Agent 502: Green Technology Specialist,,,,web search,Technology & Engineering
503,agent_503_circular_economy_specialist.py,Circular Economy Specialist,Agent 503: Circular Economy Specialist,,,,,General Business
504,agent_504_social_impact_manager.py,Social Impact Manager,Agent 504: Social Impact Manager,,,,management,General Business
505,agent_505_dei_innovation_specialist.py,Dei Innovation Specialist,Agent 505: DEI Innovation Specialist,,,,,Research & Innovation
506,agent_506_future_of_work_specialist.py,Future Of Work Specialist,Agent 506: Future of Work Specialist,,,,,General Business
507,agent_507_metaverse_specialist.py,Metaverse Specialist,Agent 507: Metaverse Specialist,,,,,General Business
508,agent_508_web3_specialist.py,Web3 Specialist,Agent 508: Web3 Specialist,,,,,General Business
509,agent_509_digital_twin_specialist.py,Digital Twin Specialist,Agent 509: Digital Twin Specialist,,,,,General Business
510,agent_510_edge_computing_specialist.py,Edge Computing Specialist,Agent 510: Edge Computing Specialist,,,,,General Business
511,agent_511_5g_iot_specialist.py,5G Iot Specialist,Agent 511: 5G IoT Specialist,,,,,General Business
